 Credit reporting, 318943, Credit reporting company's investigation, 
 Credit card, 313426, Late fee, 
 Credit card, 306534, Other, 
 Credit card, 306136, Closing/Cancelling account, 
 Credit card, 289867, Rewards, 
 Credit reporting, 289820, Unable to get credit report/credit score, 
 Credit reporting, 288124, Incorrect information on credit report, 
 Credit reporting, 288126, Incorrect information on credit report, 
 Credit reporting, 288125, Incorrect information on credit report, 
 Bank account or service, 280439, Deposits and withdrawals, 
 Mortgage, 280547, Settlement process and costs, 
 Credit reporting, 276477, Credit reporting company's investigation, 
 Credit card, 268662, APR or interest rate, 
 Consumer loan, 269439, Managing the loan or lease, 
 Student loan, 253611, Repaying your loan, 
 Student loan, 254220, Problems when you are unable to pay, 
 Bank account or service, 233809, Deposits and withdrawals, 
 Consumer loan, 229360, Managing the loan or lease, 
 Bank account or service, 226718, Using a debit or ATM card, 
 Credit card, 226390, Billing disputes, 
 Credit card, 224865, Balance transfer, 
 Credit card, 223011, Billing disputes, 
 Consumer loan, 221476, Managing the loan or lease, 
 Credit card, 216135, Identity theft / Fraud / Embezzlement, 
 Credit reporting, 219572, Incorrect information on credit report, 
 Credit card, 217947, Late fee, 
 Bank account or service, 217554, Using a debit or ATM card, 
 Consumer loan, 214987, Managing the loan or lease, 
 Credit card, 213782, Billing disputes, 
 Mortgage, 212805, Other, 
 Credit reporting, 210055, Unable to get credit report/credit score, 
 Credit card, 209857, Unsolicited issuance of credit card, 
 Credit reporting, 207895, Incorrect information on credit report, 
 Credit reporting, 207897, Incorrect information on credit report, 
 Credit card, 206548, Billing disputes, 
 Student loan, 205660, Getting a loan, 
 Student loan, 205215, Repaying your loan, 
 Credit card, 205143, Collection debt dispute, 
 Credit card, 204293, Credit reporting, 
 Credit card, 203040, Other, 
 Credit card, 201569, Billing disputes, 
 Bank account or service, 200666, Deposits and withdrawals, 
 Student loan, 198398, Problems when you are unable to pay, 
 Credit card, 198490, Advertising and marketing, 
 Credit card, 197347, APR or interest rate, 
 Credit card, 195280, Rewards, 
 Bank account or service, 194998, Problems caused by my funds being low, 
 Student loan, 195032, Repaying your loan, 
 Credit reporting, 195031, Improper use of my credit report, 
 Bank account or service, 195100, Deposits and withdrawals, 
 Credit card, 192735, Credit determination, 
 Bank account or service, 191616, Deposits and withdrawals, 
 Credit reporting, 190909, Incorrect information on credit report, 
 Credit card, 189897, Billing statement, 
 Student loan, 189686, Repaying your loan, 
 Credit reporting, 184494, Incorrect information on credit report, 
 Student loan, 184020, Repaying your loan, 
 Credit card, 178637, Credit card protection / Debt protection, 
 Student loan, 178097, Problems when you are unable to pay, 
 Mortgage, 178249, Settlement process and costs, 
 Credit reporting, 178248, Incorrect information on credit report, 
 Credit reporting, 178247, Incorrect information on credit report, 
 Credit card, 176604, Transaction issue, 
 Bank account or service, 175726, Using a debit or ATM card, 
 Mortgage, 175815, Credit decision / Underwriting, 
 Credit card, 176135, Credit card protection / Debt protection, 
 Mortgage, 173939, Other, 
 Consumer loan, 173751, Managing the loan or lease, 
 Mortgage, 172936, Settlement process and costs, 
 Bank account or service, 171812, Deposits and withdrawals, 
 Credit card, 165345, Billing disputes, 
 Credit card, 164771, Identity theft / Fraud / Embezzlement, 
 Credit card, 164600, Credit reporting, 
 Credit card, 161586, Payoff process, 
 Credit card, 164024, Billing disputes, 
 Credit card, 163993, Other, 
 Student loan, 161113, Problems when you are unable to pay, 
